Country,Population
Afganistán,41128772
Albania,1426736614
Alemania,2842318
Andorra,44903228
Angola,44295
Antigua y Barbuda,79843
Arabia Saudita,35588996
Argelia,15877
Argentina,93772
Armenia,45510324
Australia,2780472
Austria,106459
Azerbaiyán,4721383370
Bahamas,26177410
Barbados,8939617
Bélgica,10358078
Belice,409989
Benín,1472237
Bielorrusia,171186368
Birmania,281646
Bolivia,9534956
Bosnia y Herzegovina,11655923
Botswana,405285
Brasil,13352864
Brunéi,64207
Bulgaria,782457
Burkina Faso,12224114
Burundi,27052
Bután,3233530
Cabo Verde,2630300
Camboya,215313504
Camerún,31332
Canadá,449002
Chad,6781955
Chile,22673764
China,12889583
Chipre,16767851
Colombia,27914542
Comoras,38454328
República del Congo,593162
República Democrática del Congo,68722
Corea del Norte,5579148
Corea del Sur,17723312
Costa Rica,19603736
Croacia,1425887360
Cuba,51874028
Dinamarca,836783
Dominica,5970430
República Dominicana,17032
Ecuador,5180836
Egipto,28160548
El Salvador,4030361
Emiratos Árabes Unidos,11212198
Equador,191173
Eritrea,896007
Eslovaquia,10493990
Eslovenia,99010216
España,5882259
Estados Unidos,1120851
Estonia,72758
Eswatini,11228821
Etiopía,1341298
Fiyi,18001002
Filipinas,110990096
Finlandia,6336393
Francia,56550000
Gabón,1674916
Gambia,3684041
Georgia,1326064
Ghana,1201680
Granada,123379928
Grecia,744807803
Guatemala,450146793
Guinea,53117
Guinea-Bisáu,3801
Guinea Ecuatorial,929769
Guyana,5540745
Haití,67813000
Honduras,304568
Hungría,306292
India,2388997
Indonesia,2705995
Irak,3744385
Irán,83369840
Irlanda,33475870
Islas Marshall,32677
Islas Salomón,10384972
Israel,56494
Italia,125459
Jamaica,395762
Japón,171783
Jordania,17843914
Kazajistán,63329
Kenia,13859349
Kirguistán,2105580
Kiribati,808727
Kuwait,11585003
Laos,1250514600
Letonia,10432858
Líbano,7488863
Lesoto,9967304
Liberia,372903
Libia,1417173120
Liechtenstein,275501344
Lituania,88550568
Luxemburgo,44496124
Madagascar,5023108
Malasia,84534
Malawi,9449000
Maldivas,59037472
Malí,2827382
Malta,123951696
Marruecos,110796
Mauricio,11285875
Mauritania,19397998
México,54027484
Micronesia,131237
Moldavia,1782115
Mónaco,4268886
Mongolia,6630621
Montenegro,7529477
Morocco,1850654
Mozambique,5489744
Namibia,2305826
Nauru,5302690
Nepal,6812344
Nicaragua,39355
Níger,2750058
Nigeria,737604900
Noruega,3432097300
Nueva Zelanda,647601
Omán,695180
Países Bajos,29611718
Pakistán,20405318
Palaos,33938216
Panamá,523798
Papúa Nueva Guinea,22593598
Paraguay,533293
Perú,41593
Polonia,367512
Portugal,4736146
Qatar,1299478
Rumanía,326113
Rusia,127504120
Ruanda,114178
San Cristóbal y Nieves,3272993
San Marino,36491
Santa Lucía,3398373
Santa Sede,627082
Senegal,4413
Serbia,37457976
Seychelles,32969520
Sierra Leona,54179312
Singapur,2567024
Siria,12691
Somalia,30547586
Sri Lanka,17564020
Sudáfrica,289959
Sudán,5185289
Suecia,6948395
Suiza,26207982
Surinam,218541216
Tailandia,1952
Tanzania,600323657
Timor Oriental,26069416
Togo,2093606
Tonga,382836
Trinidad y Tobago,1896000
Túnez,49574
Turkmenistán,5434324
Turquía,45038860
Tuvalu,4576300
Ucrania,235824864
Uganda,18084
Uruguay,5250076
Uzbekistán,4408582
Vanuatu,10142625
Venezuela,6780745
Vietnam,34049588
Yemen,115559008
Zambia,47
Zimbabue,39857144
Abjasia,10270857
Kosovo,3252412
Sahara Occidental,2695131
Tayikistán,974062
Transnistria,19659270
Wales,144713312
Aland,13776702
Brunei,10994
Cerdeña,5401
Gibraltar,47681
Islas Faroe,179872
Islas Malvinas,31816
Islas Galápagos,5885
Islas Turcas y Caicos,103959
Islas Caimán,222390
Islas Vírgenes Británicas,33690
Islas Vírgenes de los Estados Unidos,227393
Montserrat,36408824
Niue,5466000
Tokelau,17316452
Wallis y Futuna,6871547
Anguila,107135
San Bartolomé,8605723
San Martín,5637022
Mayotte,44192
Reunión,5643455
Guadalupe,2119843
Martinica,724272
Polinesia Francesa,17597508
Nueva Caledonia,59893884
Pitcairn,436816679
Antártica,51815808
Islas Heard y McDonald,10913172
Svalbard y Jan Mayen,47558632
Islas Malvinas,21832150
Islas Georgias del Sur,46874200
Rapa Nui,618046
Islas Solomon,10549349
Vanuatu,8740471
Tokelau,22125242
Vanuatu,23893396
Malasia,9952789
Antigua y Barbuda,65497752
Islas Feroe,71697024
San Cristóbal y Nieves,8848700
Tuvalu,1893
Samoa,106867
Mónaco,1531043
Burundi,12356116
Botswana,85341248
Gambia,6430777
Gabón,45726
Fiyi,11335
Kiribati,47249588
Lesoto,39701744
Líbano,9441138
Guinea,67508936
Malawi,338289856
Comoras,99479
Seychelles,2525921300
Zambia,3422796
Papúa Nueva Guinea,34627648
República Centroafricana,326744
Papúa Nueva Guinea,808
Ruanda,28301700
Mozambique,98186856
Suazilandia,3170000
Trinidad y Tobago,11596
Bahamas,576005
Samoa,7975105024
Solomon,33696612
Tuvalu,20017670
Islas Cook,16320539
